signal_id,symbol,signal_date,signal_time,signal_price,push_date,push_price,source_run_id,source_radar,source_timeframe,source_signal_level,daily_dxdx,h4_dxdx,industry,sector_theme,strong_sector,sector_rank,sector_snapshot_run_id,return_1d,return_3d,return_5d,return_10d,return_20d,mfe_10d,mae_10d,mfe_20d,mae_20d,effectiveness,sessions_observed,last_updated
f52734a200bd18436e3c6954ecc57cfb,TROW,2026-09-08,2026-09-08T13:30:00-04:00,109.77999877929688,2026-09-08,109.77999877929688,34294931241,daily_4h,4h,A,False,True,Asset Management & Custody Banks,其他（Asset Management & Custody Banks）,否,,34292004080,-1.858,,,,,,,,,pending,1,2026-09-11T01:22:38.222484+00:00
84dfaff306a6a60cdc5386131e947ed7,MOS,2026-08-31,2026-08-31T00:00:00-04:00,24.1200008392334,2026-09-09,26.530000686645508,34375041300,weekly_monthly,monthly,,,,Fertilizers & Agricultural Chemicals,其他（Fertilizers & Agricultural Chemicals）,未知,,,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
29185a7a1d942eed633e99bd84f98c40,PSKY,2026-08-31,2026-08-31T00:00:00-04:00,10.90999984741211,2026-09-09,10.800000190734863,34375041300,weekly_monthly,monthly,,,,Movies & Entertainment,其他（Movies & Entertainment）,未知,,,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
d86ccfc403425927368b471b684c4630,META,2026-09-04,2026-09-04T00:00:00-04:00,616.77001953125,2026-09-09,613.47998046875,34375041300,weekly_monthly,weekly,,,,Interactive Media & Services,大型科技,未知,,,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
3c9e0658811de4ea69c727aecc897f67,VST,2026-09-04,2026-09-04T00:00:00-04:00,149.3000030517578,2026-09-09,151.72000122070312,34375041300,weekly_monthly,weekly,,,,Electric Utilities,其他（Electric Utilities）,未知,,,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
839212c1a5af7ae9a3f47318fbfa1cf4,BF-B,2026-09-10,2026-09-10T13:30:00-04:00,26.149999618530273,2026-09-10,26.149999618530273,34546016812,daily_4h,4h,A,False,True,Distillers & Vintners,其他（Distillers & Vintners）,否,,34542648645,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
cb6e155929883967bc5e0ccf81269021,CB,2026-09-10,2026-09-10T16:00:00-04:00,337.6199951171875,2026-09-10,337.6199951171875,34546016812,daily_4h,4h,A,False,True,Property & Casualty Insurance,其他（Property & Casualty Insurance）,否,,34542648645,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
d8061e0b1b050edaf5330e00ce48c412,GM,2026-09-10,2026-09-10T16:00:00-04:00,83.76000213623047,2026-09-10,83.76000213623047,34546016812,daily_4h,4h,A,False,True,Automobile Manufacturers,其他（Automobile Manufacturers）,否,,34542648645,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
6e520a7026d090da72f7e7817c828d43,HIG,2026-09-10,2026-09-10T16:00:00-04:00,136.55999755859375,2026-09-10,136.55999755859375,34546016812,daily_4h,4h,A,False,True,Property & Casualty Insurance,其他（Property & Casualty Insurance）,否,,34542648645,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
2cdd98d3daea3e6518c828b0e6a2a71d,PCAR,2026-09-10,2026-09-10T13:30:00-04:00,121.87999725341797,2026-09-10,121.87999725341797,34546016812,daily_4h,4h,A,False,True,Construction Machinery & Heavy Transportation Equipment,其他（Construction Machinery & Heavy Transportation Equipment）,否,,34542648645,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
79a94d066969e614978da41dcf05896a,PKG,2026-09-10,2026-09-10T13:30:00-04:00,227.27999877929688,2026-09-10,227.27999877929688,34546016812,daily_4h,4h,A,False,True,Paper & Plastic Packaging Products & Materials,其他（Paper & Plastic Packaging Products & Materials）,否,,34542648645,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
a554ee5c839ba2ed77faad978e1b34b1,WAB,2026-09-10,2026-09-10T16:00:00-04:00,280.4700012207031,2026-09-10,280.4700012207031,34546016812,daily_4h,4h,A,False,True,Construction Machinery & Heavy Transportation Equipment,其他（Construction Machinery & Heavy Transportation Equipment）,否,,34542648645,,,,,,,,,,pending,0,2026-09-11T01:22:38.222484+00:00
